Ranking	Name	Affiliation	Google Scholar	Book Points	Highest Amazon	Syllabus Points	Newspaper Mentions	Education Press	Web Mentions	Congressional Record	Twitter	Total	Twitter Handle
45	Bruce Fuller	UC Berkeley	50	14.5	0	1	9	2	7.9	0	0	84.4	
46	Jack P. Shonkoff	Harvard	43	1.5	0	6.6	7	1	24.2	0	0	83.3	
47	Sean F. Reardon	Stanford	50	0.5	0	0.3	15	8	7.8	0	0.6	82.1	seanfreardon
48 (tie)	Patrick J. Wolf	U. Arkansas	38	1.5	0	0.6	9	2	25	0	5.6	81.7	P_Diddy_Wolf
48 (tie)	Nell K. Duke	U. Michigan	35	12	14.5	2.1	2	2	7.9	0	6.2	81.7	nellkduke
50	W. Steven Barnett	Rutgers	50	6	0	1.7	9	2	12.6	0	0.1	81.4	wstevenbarnett
51	Marybeth Gasman	Rutgers	40	20	0	0.8	3	3	7	0	7.2	81	marybethgasman
52	William (Bill) F. Tate	Washington U.	28	3.5	0	0.4	30	6	7.8	0	4.7	80.4	WFTate4
53	Tyrone Howard	UCLA	33	7.5	11.3	1.7	11	2	8.4	0	5.4	80.3	TyroneCHoward
54	Mike Rose	UCLA	28	13	12.5	10	0	0	16.6	0	0	80.1	
55	Tressie McMillan Cottom	VCU	8	7	19.4	0	14	16	7	0	8.3	79.8	tressiemcphd
56	Richard M. Ingersoll	U. Penn	50	2	0	0.7	12	8	6.8	0	0	79.5	
57	Marcelo Suarez-Orozco	UCLA	44	14	4.5	1	2	0	10.6	0	3.3	79.4	uclagseis_dean
58	Martin Carnoy	Stanford	50	20	0	2.7	0	0	6.6	0	0	79.3	
59	Michael Kirst	Stanford	50	13	0	1.5	6	4	2.5	0	2.1	79.1	Michael_Kirst
60	John Rogers	UCLA	18	0	0	0.5	28	6	25	0	0	77.5	
61	Richard Arum	UC Irvine	31	11.5	8	4.1	5	8	9.2	0	0	76.9	
62	Jonathan Plucker	Johns Hopkins	50	6.5	0	2	5	2	4.6	0	6.1	76.2	JonathanPlucker
63	Jonathan Zimmerman	U. Penn	12	13	0	1.8	30	9	9.5	0	0	75.3	
64	Daniel Koretz	Harvard	41	8	10.8	2.6	8	3	1.7	0	0.1	75.2	DanKoretz
65	Christopher Lubienski	Indiana	43	3.5	6.2	0.3	2	0	13.7	0	6	74.7	CLub_edu
66	Joseph Murphy	Vanderbilt	50	20	0	0.8	0	0	3.5	0	0	74.3	
67	Patricia Gandara	UCLA	50	5.5	0	1.4	10	0	6.9	0	0.1	73.9	pcgandara
68	Larry V. Hedges	Northwestern	50	1.5	6.2	1.7	0	8	6.1	0	0	73.5	
69 (tie)	Helen (Sunny) F. Ladd	Duke	50	11.5	0	2.8	2	0	7.1	0	0.1	73.4	sunnyladd
69 (tie)	James L. Moore III	Ohio State	35	2.5	0	0.1	5	0	25	0	5.8	73.4	DrJLMooreIII
69 (tie)	Susan M. Dynarski	U. Michigan	33	0	0	2	9	7	10.8	5	6.6	73.4	dynarski
72	Joshua Aronson	NYU	39	4	16.4	5.9	0	0	3.7	0	4.1	73.1	Nurtureofintell
73 (tie)	Jal Mehta	Harvard	22	4.5	18.2	1.2	8	8	5.7	0	5.1	72.8	jal_mehta
73 (tie)	Christopher Emdin	Columbia (TC)	18	7	19.5	0.1	4	8	8.8	0	7.4	72.8	chrisemdin
